,order,Note,GeneID,Gene_Symbol+Description,Org,Gene_name_edited,
811,569,,MMP1611,conserved hypothetical protein,Mmp,conserved hypothetical protein,
707,683,,MMP1016,Conserved Hypothetical protein with 4 CBS domains.,Mmp,Conserved Hypothetical protein with 4 CBS domains.,
663,824,,MMP0711,"corA magnesium, nickel and cobalt transport protein",Mmp,corA magnesium,
535,344,,DVUA0135,CRISPR-associated protein Cas2,DvH,CRISPR-associated protein Cas2,
534,339,,DVUA0131,"CRISPR-associated protein, CT1133 family",DvH,CRISPR-associated protein,
779,729,,MMP1447,Cro repressor family Helix-turn-helix motif containing protein,Mmp,Cro repressor family Helix-turn-helix motif containing protein,
91,324,,DVU0521,csrA carbon storage regulator,DvH,csrA carbon storage regulator,
109,242,,DVU0632,cupin family protein,DvH,cupin family protein,
505,60,,DVU3271,"cydA cytochrome d ubiquinol oxidase, subunit I",DvH,cydA cytochrome d ubiquinol oxidase,
504,128,,DVU3270,"cydB cytochrome d ubiquinol oxidase, subunit II",DvH,cydB cytochrome d ubiquinol oxidase,
186,470,,DVU1202,cytidine/deoxycytidylate deaminase family protein,DvH,cytidine/deoxycytidylate deaminase family protein,
426,28,,DVU2655,D-alanyl-D-alanine carboxypeptidase family protein,DvH,D-alanyl-D-alanine carboxypeptidase family protein,
59,496,,DVU0339,D-isomer specific 2-hydroxyacid dehydrogenase family protein,DvH,D-isomer specific 2-hydroxyacid dehydrogenase family protein,
155,218,,DVU0979,DAK1 domain protein,DvH,DAK1 domain protein,
156,175,,DVU0980,DAK2 domain protein,DvH,DAK2 domain protein,
113,86,,DVU0707,dctP TRAP transporter solute receptor DctP,DvH,dctP TRAP transporter solute receptor DctP,
239,408,,DVU1529,decarboxylase family protein,DvH,decarboxylase family protein,
583,580,,MMP0261,DNA directed RNA polymerase; subunit L,Mmp,DNA directed RNA polymerase; subunit L,
265,382,,DVU1730,DNA-binding protein,DvH,DNA-binding protein,
581,785,,MMP0248,DNA-directed RNA polymerase related protein,Mmp,DNA-directed RNA polymerase related protein,
133,409,,DVU0811,dnaK dnaK protein,DvH,dnaK dnaK protein,
752,763,,MMP1278,Domain of unknown function DUF190,Mmp,Domain of unknown function DUF190,
8,101,,DVU0034,DSBA-like thioredoxin domain protein,DvH,DSBA-like thioredoxin domain protein,
722,574,,MMP1075,dut dUTP diphosphatase,Mmp,dut dUTP diphosphatase,
68,359,,DVU0403,dvsB dissimilatory sulfite reductase beta subunit,DvH,dvsB dissimilatory sulfite reductase beta subunit,
203,427,,DVU1350,dxs 1-deoxy-D-xylulose-5-phosphate synthase,DvH,dxs 1-deoxy-D-xylulose-5-phosphate synthase,
668,598,,MMP0738,"Elongation factor Tu, domain 2",Mmp,Elongation factor Tu,
158,445,,DVU0990,"endonuclease III, putative",DvH,endonuclease III,
424,511,,DVU2647,"endoribonuclease, L-PSP family",DvH,endoribonuclease,
46,12,,DVU0281,"exopolysaccharide biosynthesis protein, putative",DvH,exopolysaccharide biosynthesis protein,
808,584,,MMP1597,Family of unknown function DUF64,Mmp,Family of unknown function DUF64,
350,335,,DVU2143,"fba fructose-1,6-bisphosphate aldolase, class II",DvH,fba fructose-1,
404,217,,DVU2482,"fdnG-2 formate dehydrogenase, alpha subunit, selenocysteine-containing",DvH,fdnG-2 formate dehydrogenase,
604,813,,MMP0389,ferredoxin,Mmp,ferredoxin,
756,560,,MMP1311,ferredoxin,Mmp,ferredoxin,
518,1,,DVUA0010,"ferredoxin, 2fe-2s",DvH,ferredoxin,
414,49,,DVU2574,"ferrous ion transport protein, putative",DvH,ferrous ion transport protein,
330,71,,DVU2042,Fic family protein,DvH,Fic family protein,
431,46,,DVU2680,flavodoxin,DvH,flavodoxin,
733,630,,MMP1135,Flavodoxin:Beta-lactamase-like,Mmp,Flavodoxin:Beta-lactamase-like,
375,442,,DVU2272,"formate acetyltransferase, putative",DvH,formate acetyltransferase,
407,296,,DVU2499,ftsZ cell division protein FtsZ,DvH,ftsZ cell division protein FtsZ,
555,597,,MMP0130,fumA fumarate hydratase,Mmp,fumA fumarate hydratase,
97,332,,DVU0566,GAF domain protein,DvH,GAF domain protein,
96,221,,DVU0565,gap-1 glyceraldehyde 3-phosphate dehydrogenase,DvH,gap-1 glyceraldehyde 3-phosphate dehydrogenase,
351,419,,DVU2144,gap-2 glyceraldehyde 3-phosphate dehydrogenase,DvH,gap-2 glyceraldehyde 3-phosphate dehydrogenase,
219,440,,DVU1426,gcvH glycine cleavage system H protein,DvH,gcvH glycine cleavage system H protein,
218,430,,DVU1424,"gcvPB glycine cleavage system P protein, subunit 2",DvH,gcvPB glycine cleavage system P protein,
194,455,,DVU1271,"general secretion pathway protein F, putative",DvH,general secretion pathway protein F,
25,150,,DVU0187,GGDEF domain protein,DvH,GGDEF domain protein,
387,450,,DVU2350,gid gid protein,DvH,gid gid protein,
478,333,,DVU3027,"glcD glycolate oxidase, subunit GlcD",DvH,glcD glycolate oxidase,
547,570,,MMP0066,glnB Nitrogen regulatory protein P-II,Mmp,glnB Nitrogen regulatory protein P-II,
546,635,,MMP0064,glnK1 Nitrogen regulatory protein P-II,Mmp,glnK1 Nitrogen regulatory protein P-II,
17,76,,DVU0106,"glnP glutamine ABC transporter, permease protein",DvH,glnP glutamine ABC transporter,
754,659,,MMP1295,glucose-6-phosphate isomerase,Mmp,glucose-6-phosphate isomerase,
641,749,,MMP0590,"Glycosyl transferase, family 2",Mmp,Glycosyl transferase,
723,620,,MMP1080,"Glycosyl transferase, group 1",Mmp,Glycosyl transferase,
95,18,,DVU0561,"glycosyl transferase, group 1 family protein",DvH,glycosyl transferase,
500,458,,DVU3192,"glycosyl transferase, group 1 family protein",DvH,glycosyl transferase,
334,305,,DVU2059,"glycosyl transferase, group 2 family protein",DvH,glycosyl transferase,
388,489,,DVU2352,"glycosyl transferase, group 2 family protein",DvH,glycosyl transferase,
72,224,,DVU0448,"gmd GDP-mannose 4,6-dehydratase",DvH,gmd GDP-mannose 4,
146,439,,DVU0900,gmk guanylate kinase,DvH,gmk guanylate kinase,
253,432,,DVU1619,"gpmA phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",DvH,gpmA phosphoglycerate mutase,
314,425,,DVU1976,"groEL chaperonin, 60 kDa",DvH,groEL chaperonin,
259,124,,DVU1664,GTP-binding protein,DvH,GTP-binding protein,
732,622,,MMP1122,GTP1/OBG family:ATP/GTP-binding site motif A (P-loop):TGS domain,Mmp,GTP1/OBG family:ATP/GTP-binding site motif A (P-loop):TGS domain,
163,396,,DVU1044,guaB inosine-5`-monophosphate dehydrogenase,DvH,guaB inosine-5`-monophosphate dehydrogenase,
1,397,,DVU0003,"gyrB DNA gyrase, B subunit",DvH,gyrB DNA gyrase,
607,827,,MMP0408,"H+-transporting two-sector ATPase, A subunit",Mmp,H+-transporting two-sector ATPase,
206,451,,DVU1371,"HAD-superfamily hydrolase, subfamily IA",DvH,HAD-superfamily hydrolase,
803,617,,MMP1577,hat Histone acetyltransferase,Mmp,hat Histone acetyltransferase,
161,80,,DVU1020,HD domain/sensory box protein,DvH,HD domain/sensory box protein,
736,689,,MMP1164,heavy-metal transport ATPase related protein,Mmp,heavy-metal transport ATPase related protein,
136,302,,DVU0856,hemB porphobilinogen synthase,DvH,hemB porphobilinogen synthase,
497,367,,DVU3168,"hemL glutamate-1-semialdehyde-2,1-aminomutase",DvH,hemL glutamate-1-semialdehyde-2,
65,89,,DVU0359,HesB-like domain,DvH,HesB-like domain,
49,336,,DVU0286,"hisF imidazoleglycerol phosphate synthase, cyclase subunit",DvH,hisF imidazoleglycerol phosphate synthase,
48,500,,DVU0285,"hisH imidazole glycerol phosphate synthase, glutamine amidotransferase subunit",DvH,hisH imidazole glycerol phosphate synthase,
586,568,,MMP0280,hisI Phosphoribosyl-AMP cyclohydrolase,Mmp,hisI Phosphoribosyl-AMP cyclohydrolase,
603,807,,MMP0386,HMmA archaeal histone A,Mmp,HMmA archaeal histone A,
557,619,,MMP0145,hpt Hypoxanthine (guanine) phosphoribosyltransferase,Mmp,hpt Hypoxanthine (guanine) phosphoribosyltransferase,
370,236,,DVU2240,hydantoinase/oxoprolinase family protein,DvH,hydantoinase/oxoprolinase family protein,
119,306,,DVU0765,"hydroxypyruvate reductase, putative",DvH,hydroxypyruvate reductase,
552,694,,MMP0121,hypothetical,Mmp,hypothetical,
2,532,,DVU0008,hypothetical protein,DvH,hypothetical protein,
3,35,,DVU0016,hypothetical protein,DvH,hypothetical protein,
4,513,,DVU0017,hypothetical protein,DvH,hypothetical protein,
5,37,,DVU0023,hypothetical protein,DvH,hypothetical protein,
14,109,,DVU0086,hypothetical protein,DvH,hypothetical protein,
21,254,,DVU0174,hypothetical protein,DvH,hypothetical protein,
23,535,,DVU0185,hypothetical protein,DvH,hypothetical protein,
26,210,,DVU0195,hypothetical protein,DvH,hypothetical protein,
27,287,,DVU0196,hypothetical protein,DvH,hypothetical protein,
29,522,,DVU0201,hypothetical protein,DvH,hypothetical protein,
30,193,,DVU0205,hypothetical protein,DvH,hypothetical protein,
35,11,,DVU0225,hypothetical protein,DvH,hypothetical protein,
36,45,,DVU0228,hypothetical protein,DvH,hypothetical protein,
37,386,,DVU0229,hypothetical protein,DvH,hypothetical protein,
38,277,,DVU0231,hypothetical protein,DvH,hypothetical protein,
39,357,,DVU0232,hypothetical protein,DvH,hypothetical protein,
41,10,,DVU0254,hypothetical protein,DvH,hypothetical protein,
42,191,,DVU0267,hypothetical protein,DvH,hypothetical protein,
43,293,,DVU0268,hypothetical protein,DvH,hypothetical protein,
44,329,,DVU0272,hypothetical protein,DvH,hypothetical protein,
50,449,,DVU0292,hypothetical protein,DvH,hypothetical protein,
52,321,,DVU0297,hypothetical protein,DvH,hypothetical protein,
54,115,,DVU0303,hypothetical protein,DvH,hypothetical protein,
55,47,Biofilm,DVU0304,hypothetical protein,DvH,hypothetical protein,
58,271,,DVU0324,hypothetical protein,DvH,hypothetical protein,
75,343,,DVU0472,hypothetical protein,DvH,hypothetical protein,
76,283,,DVU0473,hypothetical protein,DvH,hypothetical protein,
77,476,,DVU0476,hypothetical protein,DvH,hypothetical protein,
81,347,,DVU0497,hypothetical protein,DvH,hypothetical protein,
89,311,,DVU0518,hypothetical protein,DvH,hypothetical protein,
92,9,,DVU0546,hypothetical protein,DvH,hypothetical protein,
99,215,,DVU0570,hypothetical protein,DvH,hypothetical protein,
101,250,,DVU0586,hypothetical protein,DvH,hypothetical protein,
104,530,,DVU0604,hypothetical protein,DvH,hypothetical protein,
105,536,,DVU0613,hypothetical protein,DvH,hypothetical protein,
106,69,,DVU0618,hypothetical protein,DvH,hypothetical protein,
107,207,,DVU0623,hypothetical protein,DvH,hypothetical protein,
108,379,,DVU0630,hypothetical protein,DvH,hypothetical protein,
111,34,,DVU0695,hypothetical protein,DvH,hypothetical protein,
112,356,,DVU0696,hypothetical protein,DvH,hypothetical protein,
115,105,,DVU0728,hypothetical protein,DvH,hypothetical protein,
117,291,,DVU0754,hypothetical protein,DvH,hypothetical protein,
118,478,,DVU0757,hypothetical protein,DvH,hypothetical protein,
120,48,,DVU0772,hypothetical protein,DvH,hypothetical protein,
125,390,,DVU0782,hypothetical protein,DvH,hypothetical protein,
127,483,,DVU0793,hypothetical protein,DvH,hypothetical protein,
128,111,,DVU0798,hypothetical protein,DvH,hypothetical protein,
129,387,,DVU0800,hypothetical protein,DvH,hypothetical protein,
130,203,,DVU0802,hypothetical protein,DvH,hypothetical protein,
132,129,,DVU0810,hypothetical protein,DvH,hypothetical protein,
137,525,,DVU0860,hypothetical protein,DvH,hypothetical protein,
141,42,,DVU0877,hypothetical protein,DvH,hypothetical protein,
142,158,,DVU0880,hypothetical protein,DvH,hypothetical protein,
148,166,,DVU0909,hypothetical protein,DvH,hypothetical protein,
149,116,,DVU0936,hypothetical protein,DvH,hypothetical protein,
152,528,,DVU0950,hypothetical protein,DvH,hypothetical protein,
153,385,,DVU0960,hypothetical protein,DvH,hypothetical protein,
154,137,,DVU0962,hypothetical protein,DvH,hypothetical protein,
157,113,,DVU0986,hypothetical protein,DvH,hypothetical protein,
159,510,,DVU1010,hypothetical protein,DvH,hypothetical protein,
160,264,,DVU1015,hypothetical protein,DvH,hypothetical protein,
162,352,,DVU1031,hypothetical protein,DvH,hypothetical protein,
164,480,,DVU1046,hypothetical protein,DvH,hypothetical protein,
167,183,,DVU1088,hypothetical protein,DvH,hypothetical protein,
168,312,,DVU1108,hypothetical protein,DvH,hypothetical protein,
169,519,,DVU1112,hypothetical protein,DvH,hypothetical protein,
170,244,,DVU1116,hypothetical protein,DvH,hypothetical protein,
171,126,,DVU1121,hypothetical protein,DvH,hypothetical protein,
174,211,,DVU1137,hypothetical protein,DvH,hypothetical protein,
175,288,,DVU1145,hypothetical protein,DvH,hypothetical protein,
176,261,,DVU1151,hypothetical protein,DvH,hypothetical protein,
177,268,,DVU1153,hypothetical protein,DvH,hypothetical protein,
178,269,,DVU1155,hypothetical protein,DvH,hypothetical protein,
179,205,,DVU1158,hypothetical protein,DvH,hypothetical protein,
180,110,,DVU1161,hypothetical protein,DvH,hypothetical protein,
181,186,,DVU1166,hypothetical protein,DvH,hypothetical protein,
182,6,,DVU1171,hypothetical protein,DvH,hypothetical protein,
183,100,,DVU1176,hypothetical protein,DvH,hypothetical protein,
184,523,,DVU1178,hypothetical protein,DvH,hypothetical protein,
187,377,,DVU1235,hypothetical protein,DvH,hypothetical protein,
189,358,,DVU1253,hypothetical protein,DvH,hypothetical protein,
192,341,,DVU1267,hypothetical protein,DvH,hypothetical protein,
193,278,,DVU1269,hypothetical protein,DvH,hypothetical protein,
195,272,,DVU1277,hypothetical protein,DvH,hypothetical protein,
197,153,,DVU1293,hypothetical protein,DvH,hypothetical protein,
204,314,,DVU1354,hypothetical protein,DvH,hypothetical protein,
207,216,,DVU1379,hypothetical protein,DvH,hypothetical protein,
208,142,,DVU1380,hypothetical protein,DvH,hypothetical protein,
209,274,,DVU1385,hypothetical protein,DvH,hypothetical protein,
211,107,,DVU1393,hypothetical protein,DvH,hypothetical protein,
212,39,,DVU1394,hypothetical protein,DvH,hypothetical protein,
216,72,,DVU1421,hypothetical protein,DvH,hypothetical protein,
222,275,,DVU1439,hypothetical protein,DvH,hypothetical protein,
231,138,,DVU1473,hypothetical protein,DvH,hypothetical protein,
232,3,,DVU1474,hypothetical protein,DvH,hypothetical protein,
236,196,,DVU1506,hypothetical protein,DvH,hypothetical protein,
237,19,,DVU1510,hypothetical protein,DvH,hypothetical protein,
241,209,,DVU1542,hypothetical protein,DvH,hypothetical protein,
242,200,,DVU1546,hypothetical protein,DvH,hypothetical protein,
244,472,,DVU1567,hypothetical protein,DvH,hypothetical protein,
249,444,,DVU1607,hypothetical protein,DvH,hypothetical protein,
252,103,,DVU1616,hypothetical protein,DvH,hypothetical protein,
255,481,,DVU1635,hypothetical protein,DvH,hypothetical protein,
258,350,,DVU1659,hypothetical protein,DvH,hypothetical protein,
261,141,,DVU1689,hypothetical protein,DvH,hypothetical protein,
263,326,,DVU1707,hypothetical protein,DvH,hypothetical protein,
264,104,,DVU1711,hypothetical protein,DvH,hypothetical protein,
266,319,,DVU1733,hypothetical protein,DvH,hypothetical protein,
267,348,,DVU1734,hypothetical protein,DvH,hypothetical protein,
268,4,,DVU1735,hypothetical protein,DvH,hypothetical protein,
271,212,,DVU1751,hypothetical protein,DvH,hypothetical protein,
273,474,,DVU1761,hypothetical protein,DvH,hypothetical protein,
277,202,,DVU1776,hypothetical protein,DvH,hypothetical protein,
281,267,,DVU1793,hypothetical protein,DvH,hypothetical protein,
282,229,,DVU1794,hypothetical protein,DvH,hypothetical protein,
283,133,,DVU1801,hypothetical protein,DvH,hypothetical protein,
286,345,,DVU1832,hypothetical protein,DvH,hypothetical protein,
297,53,,DVU1894,hypothetical protein,DvH,hypothetical protein,
298,25,,DVU1905,hypothetical protein,DvH,hypothetical protein,
299,197,,DVU1916,hypothetical protein,DvH,hypothetical protein,
305,62,,DVU1943,hypothetical protein,DvH,hypothetical protein,
309,5,,DVU1957,hypothetical protein,DvH,hypothetical protein,
310,313,,DVU1963,hypothetical protein,DvH,hypothetical protein,
313,112,,DVU1972,hypothetical protein,DvH,hypothetical protein,
315,56,,DVU1990,hypothetical protein,DvH,hypothetical protein,
316,527,,DVU1994,hypothetical protein,DvH,hypothetical protein,
319,353,,DVU1997,hypothetical protein,DvH,hypothetical protein,
320,95,,DVU1998,hypothetical protein,DvH,hypothetical protein,
322,194,,DVU2005,hypothetical protein,DvH,hypothetical protein,
325,163,,DVU2021,hypothetical protein,DvH,hypothetical protein,
329,508,,DVU2034,hypothetical protein,DvH,hypothetical protein,
331,279,,DVU2045,hypothetical protein,DvH,hypothetical protein,
332,44,,DVU2047,hypothetical protein,DvH,hypothetical protein,
333,8,,DVU2056,hypothetical protein,DvH,hypothetical protein,
335,482,,DVU2060,hypothetical protein,DvH,hypothetical protein,
339,349,,DVU2080,hypothetical protein,DvH,hypothetical protein,
341,108,,DVU2096,hypothetical protein,DvH,hypothetical protein,
347,188,,DVU2115,hypothetical protein,DvH,hypothetical protein,
348,249,,DVU2126,hypothetical protein,DvH,hypothetical protein,
349,29,,DVU2130,hypothetical protein,DvH,hypothetical protein,
352,201,,DVU2146,hypothetical protein,DvH,hypothetical protein,
354,512,,DVU2158,hypothetical protein,DvH,hypothetical protein,
355,195,,DVU2162,hypothetical protein,DvH,hypothetical protein,
356,391,,DVU2163,hypothetical protein,DvH,hypothetical protein,
357,529,,DVU2167,hypothetical protein,DvH,hypothetical protein,
359,270,,DVU2172,hypothetical protein,DvH,hypothetical protein,
361,355,,DVU2180,hypothetical protein,DvH,hypothetical protein,
362,189,,DVU2199,hypothetical protein,DvH,hypothetical protein,
365,199,,DVU2221,hypothetical protein,DvH,hypothetical protein,
368,282,,DVU2236,hypothetical protein,DvH,hypothetical protein,
372,389,,DVU2257,hypothetical protein,DvH,hypothetical protein,
373,2,,DVU2264,hypothetical protein,DvH,hypothetical protein,
374,70,,DVU2268,hypothetical protein,DvH,hypothetical protein,
376,526,,DVU2279,hypothetical protein,DvH,hypothetical protein,
377,36,,DVU2283,hypothetical protein,DvH,hypothetical protein,
380,518,,DVU2304,hypothetical protein,DvH,hypothetical protein,
389,265,,DVU2358,hypothetical protein,DvH,hypothetical protein,
394,252,,DVU2408,hypothetical protein,DvH,hypothetical protein,
395,7,,DVU2429,hypothetical protein,DvH,hypothetical protein,
396,290,,DVU2431,hypothetical protein,DvH,hypothetical protein,
398,106,,DVU2445,hypothetical protein,DvH,hypothetical protein,
402,40,,DVU2454,hypothetical protein,DvH,hypothetical protein,
403,515,,DVU2457,hypothetical protein,DvH,hypothetical protein,
405,198,,DVU2488,hypothetical protein,DvH,hypothetical protein,
411,263,,DVU2539,hypothetical protein,DvH,hypothetical protein,
416,94,,DVU2589,hypothetical protein,DvH,hypothetical protein,
417,41,,DVU2592,hypothetical protein,DvH,hypothetical protein,
419,96,,DVU2618,hypothetical protein,DvH,hypothetical protein,
420,204,,DVU2625,hypothetical protein,DvH,hypothetical protein,
421,258,,DVU2626,hypothetical protein,DvH,hypothetical protein,
422,383,,DVU2634,hypothetical protein,DvH,hypothetical protein,
425,262,,DVU2651,hypothetical protein,DvH,hypothetical protein,
428,318,,DVU2660,hypothetical protein,DvH,hypothetical protein,
433,316,,DVU2691,hypothetical protein,DvH,hypothetical protein,
435,192,,DVU2709,hypothetical protein,DvH,hypothetical protein,
436,266,,DVU2726,hypothetical protein,DvH,hypothetical protein,
438,467,,DVU2734,hypothetical protein,DvH,hypothetical protein,
440,327,,DVU2761,hypothetical protein,DvH,hypothetical protein,
442,328,,DVU2766,hypothetical protein,DvH,hypothetical protein,
443,276,,DVU2786,hypothetical protein,DvH,hypothetical protein,
445,38,,DVU2821,hypothetical protein,DvH,hypothetical protein,
446,139,,DVU2826,hypothetical protein,DvH,hypothetical protein,
448,190,,DVU2829,hypothetical protein,DvH,hypothetical protein,
449,354,,DVU2846,hypothetical protein,DvH,hypothetical protein,
452,381,,DVU2868,hypothetical protein,DvH,hypothetical protein,
455,479,,DVU2895,hypothetical protein,DvH,hypothetical protein,
467,380,,DVU2974,hypothetical protein,DvH,hypothetical protein,
472,495,,DVU2997,hypothetical protein,DvH,hypothetical protein,
476,368,,DVU3024,hypothetical protein,DvH,hypothetical protein,
481,452,,DVU3043,hypothetical protein,DvH,hypothetical protein,
485,320,,DVU3078,hypothetical protein,DvH,hypothetical protein,
486,351,,DVU3083,hypothetical protein,DvH,hypothetical protein,
490,317,,DVU3096,hypothetical protein,DvH,hypothetical protein,
493,520,,DVU3129,hypothetical protein,DvH,hypothetical protein,
494,256,,DVU3130,hypothetical protein,DvH,hypothetical protein,
496,273,,DVU3153,hypothetical protein,DvH,hypothetical protein,
499,77,,DVU3190,hypothetical protein,DvH,hypothetical protein,
501,289,,DVU3209,hypothetical protein,DvH,hypothetical protein,
502,43,,DVU3211,hypothetical protein,DvH,hypothetical protein,
506,533,,DVU3285,hypothetical protein,DvH,hypothetical protein,
507,534,,DVU3306,hypothetical protein,DvH,hypothetical protein,
509,284,,DVU3311,hypothetical protein,DvH,hypothetical protein,
511,144,,DVU3328,hypothetical protein,DvH,hypothetical protein,
513,323,,DVU3357,hypothetical protein,DvH,hypothetical protein,
514,206,,DVU3380,hypothetical protein,DvH,hypothetical protein,
515,514,,DVU3393,hypothetical protein,DvH,hypothetical protein,
517,338,,DVUA0003,hypothetical protein,DvH,hypothetical protein,
521,169,,DVUA0028,hypothetical protein,DvH,hypothetical protein,
522,504,,DVUA0031,hypothetical protein,DvH,hypothetical protein,
523,521,,DVUA0033,hypothetical protein,DvH,hypothetical protein,
527,501,,DVUA0089,hypothetical protein,DvH,hypothetical protein,
531,426,,DVUA0108,hypothetical protein,DvH,hypothetical protein,
561,693,,MMP0182,hypothetical protein,Mmp,hypothetical protein,
562,633,,MMP0193,hypothetical protein,Mmp,hypothetical protein,
590,545,,MMP0292,hypothetical protein,Mmp,hypothetical protein,
606,552,,MMP0395,hypothetical protein,Mmp,hypothetical protein,
610,820,,MMP0435,hypothetical protein,Mmp,hypothetical protein,
617,695,,MMP0445,hypothetical protein,Mmp,hypothetical protein,
619,647,,MMP0448,hypothetical protein,Mmp,hypothetical protein,
621,708,,MMP0452,hypothetical protein,Mmp,hypothetical protein,
628,610,,MMP0502,hypothetical protein,Mmp,hypothetical protein,
630,594,,MMP0526,hypothetical protein,Mmp,hypothetical protein,
638,707,,MMP0558,hypothetical protein,Mmp,hypothetical protein,
642,687,,MMP0592,hypothetical protein,Mmp,hypothetical protein,
644,717,,MMP0601,hypothetical protein,Mmp,hypothetical protein,
653,781,,MMP0655,hypothetical protein,Mmp,hypothetical protein,
662,663,,MMP0709,hypothetical protein,Mmp,hypothetical protein,
666,772,,MMP0734,hypothetical protein,Mmp,hypothetical protein,
671,746,,MMP0754,hypothetical protein,Mmp,hypothetical protein,
672,546,,MMP0760,hypothetical protein,Mmp,hypothetical protein,
673,711,,MMP0786,hypothetical protein,Mmp,hypothetical protein,
675,762,,MMP0798,hypothetical protein,Mmp,hypothetical protein,
679,547,,MMP0826,hypothetical protein,Mmp,hypothetical protein,
680,767,,MMP0827,hypothetical protein,Mmp,hypothetical protein,
683,797,,MMP0843,hypothetical protein,Mmp,hypothetical protein,
684,649,,MMP0846,hypothetical protein,Mmp,hypothetical protein,
689,760,,MMP0881,hypothetical protein,Mmp,hypothetical protein,
690,727,,MMP0884,hypothetical protein,Mmp,hypothetical protein,
695,766,,MMP0910,hypothetical protein,Mmp,hypothetical protein,
702,773,,MMP0972,hypothetical protein,Mmp,hypothetical protein,
703,779,,MMP0978,hypothetical protein,Mmp,hypothetical protein,
730,775,,MMP1106,hypothetical protein,Mmp,hypothetical protein,
744,541,,MMP1237,hypothetical protein,Mmp,hypothetical protein,
747,587,,MMP1267,hypothetical protein,Mmp,hypothetical protein,
751,753,,MMP1275,hypothetical protein,Mmp,hypothetical protein,
755,731,,MMP1300,hypothetical protein,Mmp,hypothetical protein,
760,696,,MMP1344,hypothetical protein,Mmp,hypothetical protein,
777,561,,MMP1428,hypothetical protein,Mmp,hypothetical protein,
820,755,,MMP1683,hypothetical protein,Mmp,hypothetical protein,
652,805,,MMP0654,ilvC Ketol-acid reductoisomerase,Mmp,ilvC Ketol-acid reductoisomerase,
308,394,,DVU1951,"indolepyruvate ferredoxin oxidoreductase, alpha subunit, putative",DvH,indolepyruvate ferredoxin oxidoreductase,
307,431,,DVU1950,"indolepyruvate ferredoxin oxidoreductase, beta subunit, putative",DvH,indolepyruvate ferredoxin oxidoreductase,
85,402,,DVU0508,infB translation initiation factor IF-2,DvH,infB translation initiation factor IF-2,
529,292,,DVUA0103,"invX type III secretion protein, HrpO family",DvH,invX type III secretion protein,
657,540,,MMP0671,ipa-20r conserved hypothetical protein,Mmp,ipa-20r conserved hypothetical protein,
279,220,,DVU1782,iron-sulfur cluster-binding protein,DvH,iron-sulfur cluster-binding protein,
303,79,,DVU1931,iron-sulfur cluster-binding protein,DvH,iron-sulfur cluster-binding protein,
412,376,,DVU2544,iron-sulfur cluster-binding protein,DvH,iron-sulfur cluster-binding protein,
480,415,,DVU3033,iron-sulfur cluster-binding protein,DvH,iron-sulfur cluster-binding protein,
343,181,,DVU2104,iron-sulfur cluster-binding/ATPase domain protein,DvH,iron-sulfur cluster-binding/ATPase domain protein,
114,13,,DVU0718,"ISDvu2, transposase OrfA",DvH,ISDvu2,
214,14,,DVU1399,"ISDvu2, transposase OrfA",DvH,ISDvu2,
328,15,,DVU2029,"ISDvu2, transposase OrfA",DvH,ISDvu2,
360,16,,DVU2179,"ISDvu2, transposase OrfA",DvH,ISDvu2,
601,615,,MMP0377,isoleucyl-tRNA synthetase related,Mmp,isoleucyl-tRNA synthetase related,
229,456,,DVU1454,ispD 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,DvH,ispD 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,
246,64,,DVU1576,ispE 4-diphosphocytidyl-2C-methyl-D-erythritol kinase,DvH,ispE 4-diphosphocytidyl-2C-methyl-D-erythritol kinase,
201,173,,DVU1344,ispG 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,DvH,ispG 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,
528,227,,DVUA0091,katA catalase,DvH,katA catalase,
767,821,,MMP1366,"KH domain:KH domain, type 1",Mmp,KH domain:KH domain,
470,491,,DVU2983,"leuD 3-isopropylmalate dehydratase, small subunit",DvH,leuD 3-isopropylmalate dehydratase,
147,239,,DVU0905,lipA lipoic acid synthetase,DvH,lipA lipoic acid synthetase,
94,531,,DVU0559,"lipoprotein, putative",DvH,lipoprotein,
240,32,,DVU1537,"lipoprotein, putative",DvH,lipoprotein,
423,82,,DVU2641,"lipoprotein, putative",DvH,lipoprotein,
734,714,,MMP1137,"Lrp-Like Transcriptional regulatory proteins, AsnC family",Mmp,Lrp-Like Transcriptional regulatory proteins,
560,538,,MMP0159,LSU ribosomal protein L39E,Mmp,LSU ribosomal protein L39E,
797,790,,MMP1543,LSU Ribosomal protein L3P,Mmp,LSU Ribosomal protein L3P,
798,788,,MMP1544,LSU Ribosomal protein L4P,Mmp,LSU Ribosomal protein L4P,
413,373,,DVU2566,lysA-2 diaminopimelate decarboxylase,DvH,lysA-2 diaminopimelate decarboxylase,
358,506,,DVU2168,major head protein,DvH,major head protein,
770,728,,MMP1372,manB Phosphoglucomutase/phosphomannomutase,Mmp,manB Phosphoglucomutase/phosphomannomutase,
166,78,,DVU1067,"membrane protein, Bmp family",DvH,membrane protein,
7,85,,DVU0027,"membrane protein, putative",DvH,membrane protein,
